xcen,ycen,sxx,syy,sxy                                                     
1.5000E+000,7.7500E+001,-8.6666E+006,-2.6068E+007,-3.3628E+003           
1.5000E+000,7.8500E+001,-8.6664E+006,-2.6066E+007,-4.8998E+003           
1.5000E+000,7.9500E+001,-8.6663E+006,-2.6063E+007,-6.7596E+003           
1.5000E+000,8.0500E+001,-8.6665E+006,-2.6059E+007,-8.2339E+003           
1.5000E+000,8.1500E+001,-8.6667E+006,-2.6055E+007,-9.0270E+003           
1.5000E+000,8.2500E+001,-8.6668E+006,-2.6048E+007,-1.0035E+004           
1.5000E+000,8.3500E+001,-8.6672E+006,-2.6042E+007,-1.0225E+004           
1.5000E+000,8.4500E+001,-8.6674E+006,-2.6036E+007,-1.0348E+004           
1.5000E+000,8.5500E+001,-8.6675E+006,-2.6029E+007,-1.0460E+004           
1.5000E+000,8.6500E+001,-8.6676E+006,-2.6023E+007,-1.0050E+004           
1.5000E+000,8.7500E+001,-8.6676E+006,-2.6017E+007,-9.0593E+003           
1.5000E+000,8.8500E+001,-8.6675E+006,-2.6011E+007,-8.3445E+003           
1.5000E+000,8.9500E+001,-8.6679E+006,-2.6007E+007,-7.4134E+003           
1.5000E+000,9.0500E+001,-8.6681E+006,-2.6003E+007,-6.1649E+003           
1.5000E+000,9.1500E+001,-8.6681E+006,-2.6000E+007,-4.2851E+003           
1.5000E+000,9.2500E+001,-8.6681E+006,-2.5997E+007,-2.4903E+003           
1.5000E+000,9.3500E+001,-8.6682E+006,-2.5995E+007,-7.4015E+002           
1.5000E+000,9.4500E+001,-8.6681E+006,-2.5995E+007,8.1768E+002            
1.5000E+000,9.5500E+001,-8.6679E+006,-2.5995E+007,2.2062E+003            
1.5000E+000,9.6500E+001,-8.6672E+006,-2.5996E+007,3.1256E+003            
1.5000E+000,9.7500E+001,-8.6660E+006,-2.5996E+007,3.2419E+003            
1.5000E+000,9.8500E+001,-8.6649E+006,-2.5998E+007,2.8529E+003            
1.5000E+000,9.9500E+001,-8.6636E+006,-2.5999E+007,1.1468E+003           
2.5000E+000,5.0000E-001,-8.6684E+006,-2.6661E+007,-2.1604E+002            
2.5000E+000,1.5000E+000,-8.6676E+006,-2.6661E+007,-6.4666E+002            
2.5000E+000,2.5000E+000,-8.6675E+006,-2.6661E+007,-1.0220E+003            
2.5000E+000,3.5000E+000,-8.6673E+006,-2.6661E+007,-6.1699E+002            
2.5000E+000,4.5000E+000,-8.6674E+006,-2.6661E+007,-1.9607E+003            
2.5000E+000,5.5000E+000,-8.6668E+006,-2.6660E+007,-2.1282E+003            
2.5000E+000,6.5000E+000,-8.6666E+006,-2.6660E+007,-2.6368E+003            
2.5000E+000,7.5000E+000,-8.6665E+006,-2.6659E+007,-3.2908E+003            
2.5000E+000,8.5000E+000,-8.6665E+006,-2.6658E+007,-4.4348E+003            
2.5000E+000,9.5000E+000,-8.6665E+006,-2.6657E+007,-5.4327E+003           
2.5000E+000,1.0500E+001,-8.6664E+006,-2.6655E+007,-7.0219E+003           
2.5000E+000,1.1500E+001,-8.6665E+006,-2.6653E+007,-9.2646E+003           
2.5000E+000,1.2500E+001,-8.6659E+006,-2.6650E+007,-1.0970E+004           
2.5000E+000,1.3500E+001,-8.6654E+006,-2.6648E+007,-1.2971E+004           
2.5000E+000,1.4500E+001,-8.6644E+006,-2.6644E+007,-1.5098E+004           
2.5000E+000,1.5500E+001,-8.6639E+006,-2.6639E+007,-1.7923E+004           
2.5000E+000,1.6500E+001,-8.6642E+006,-2.6633E+007,-2.0651E+004           
2.5000E+000,1.7500E+001,-8.6649E+006,-2.6627E+007,-2.2757E+004           
2.5000E+000,1.8500E+001,-8.6651E+006,-2.6618E+007,-2.6769E+004           
2.5000E+000,1.9500E+001,-8.6655E+006,-2.6610E+007,-3.0259E+004           
2.5000E+000,2.0500E+001,-8.6651E+006,-2.6600E+007,-3.3606E+004           
2.5000E+000,2.1500E+001,-8.6645E+006,-2.6589E+007,-3.7771E+004           
2.5000E+000,2.2500E+001,-8.6634E+006,-2.6575E+007,-4.1760E+004           
2.5000E+000,2.3500E+001,-8.6629E+006,-2.6560E+007,-4.6595E+004           
